"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Frederik Andersen",7800,"Anh@Col 05:30PM ET",3.995,"Anh"
"G","John Gibson",7800,"Anh@Col 05:30PM ET",4.356,"Anh"
"G","Scott Darling",7800,"Chi@Cls 07:00PM ET",3.945,"Chi"
"G","Jimmy Howard",7700,"Det@NYR 12:30PM ET",3.385,"Det"
"G","Michal Neuvirth",7700,"Pit@Phi 03:00PM ET",5.058,"Phi"
"G","Petr Mrazek",7700,"Det@NYR 12:30PM ET",4.447,"Det"
"G","Antti Raanta",7700,"Det@NYR 12:30PM ET",3.425,"NYR"
"G","Craig Anderson",7600,"Ott@Bos 12:30PM ET",4.913,"Ott"
"G","Jaroslav Halak",7600,"Buf@NYI 07:30PM ET",4.400,"NYI"
"RW","Vladimir Tarasenko",7600,"Was@StL 08:00PM ET",4.299,"StL"
"G","Andrew Hammond",7600,"Ott@Bos 12:30PM ET",3.583,"Ott"
"RW","Joe Pavelski",7500,"Ari@SJ 10:30PM ET",4.158,"SJ"
"G","Jeff Zatkoff",7500,"Pit@Phi 03:00PM ET",3.877,"Pit"
"C","John Tavares",7500,"Buf@NYI 07:30PM ET",3.958,"NYI"
"G","Carter Hutton",7500,"Nsh@Dal 08:00PM ET",4.563,"Nsh"
"G","Kari Lehtonen",7400,"Nsh@Dal 08:00PM ET",4.071,"Dal"
"D","Mark Giordano",7400,"Cgy@Min 07:00PM ET",4.096,"Cgy"
"G","Cory Schneider",7400,"Tor@NJ 07:00PM ET",4.452,"NJ"
"G","Robin Lehner",7400,"Buf@NYI 07:30PM ET",4.200,"Buf"
"G","Cam Talbot",7400,"Edm@Van 10:00PM ET",4.109,"Edm"
"G","Keith Kinkaid",7400,"Tor@NJ 07:00PM ET",3.583,"NJ"
"G","Joonas Korpisalo",7400,"Chi@Cls 07:00PM ET",4.647,"Cls"
"C","Connor McDavid",7400,"Edm@Van 10:00PM ET",3.852,"Edm"
"C","Patrice Bergeron",7300,"Ott@Bos 12:30PM ET",4.152,"Bos"
"RW","Blake Wheeler",7300,"Wpg@LA 10:00PM ET",4.153,"Wpg"
"C","Claude Giroux",7300,"Pit@Phi 03:00PM ET",3.695,"Phi"
"D","Kris Letang",7300,"Pit@Phi 03:00PM ET",4.454,"Pit"
"G","James Reimer",7300,"Ari@SJ 10:30PM ET",4.425,"SJ"
"G","Antti Niemi",7300,"Nsh@Dal 08:00PM ET",3.875,"Dal"
"C","Steven Stamkos",7300,"TB@Mon 07:00PM ET",3.594,"TB"
"G","Martin Jones",7300,"Ari@SJ 10:30PM ET",4.519,"SJ"
"G","Mike Smith",7200,"Ari@SJ 10:30PM ET",4.503,"Ari"
"G","Darcy Kuemper",7200,"Cgy@Min 07:00PM ET",3.352,"Min"
"D","Roman Josi",7200,"Nsh@Dal 08:00PM ET",4.067,"Nsh"
"G","Philipp Grubauer",7200,"Was@StL 08:00PM ET",3.581,"Was"
"G","Joni Ortio",7200,"Cgy@Min 07:00PM ET",3.173,"Cgy"
"LW","Johnny Gaudreau",7200,"Cgy@Min 07:00PM ET",3.830,"Cgy"
"G","Cam Ward",7100,"Car@Fla 07:00PM ET",3.715,"Car"
"G","Ryan Miller",7100,"Edm@Van 10:00PM ET",4.263,"Van"
"LW","Zach Parise",7100,"Cgy@Min 07:00PM ET",3.801,"Min"
"C","Evgeni Malkin",7100,"Pit@Phi 03:00PM ET",3.674,"Pit"
"G","Ondrej Pavelec",7100,"Wpg@LA 10:00PM ET",3.448,"Wpg"
"G","Jhonas Enroth",7100,"Wpg@LA 10:00PM ET",4.213,"LA"
"G","Jonas Gustavsson",7100,"Ott@Bos 12:30PM ET",3.870,"Bos"
"G","Ben Scrivens",7100,"TB@Mon 07:00PM ET",3.600,"Mon"
"G","Calvin Pickard",7100,"Anh@Col 05:30PM ET",4.120,"Col"
"G","Matt Murray",7100,"Pit@Phi 03:00PM ET",5.650,"Pit"
"G","Mike Condon",7100,"TB@Mon 07:00PM ET",3.374,"Mon"
"G","Carey Price",7000,"TB@Mon 07:00PM ET",6.517,"Mon"
"G","Karri Ramo",7000,"Cgy@Min 07:00PM ET",3.921,"Cgy"
"G","Jonathan Bernier",7000,"Tor@NJ 07:00PM ET",3.530,"Tor"
"LW","Brad Marchand",7000,"Ott@Bos 12:30PM ET",3.935,"Bos"
"G","Sergei Bobrovsky",7000,"Chi@Cls 07:00PM ET",3.931,"Cls"
"G","Jacob Markstrom",7000,"Edm@Van 10:00PM ET",4.150,"Van"
"G","Scott Wedgewood",7000,"Tor@NJ 07:00PM ET",6.300,"NJ"
"RW","Phil Kessel",6900,"Pit@Phi 03:00PM ET",3.527,"Pit"
"G","Jonas Hiller",6900,"Cgy@Min 07:00PM ET",2.407,"Cgy"
"RW","Patric Hornqvist",6900,"Pit@Phi 03:00PM ET",3.444,"Pit"
"D","Kevin Shattenkirk",6900,"Was@StL 08:00PM ET",3.447,"StL"
"LW","Max Pacioretty",6900,"TB@Mon 07:00PM ET",3.933,"Mon"
"RW","Nikita Kucherov",6900,"TB@Mon 07:00PM ET",3.596,"TB"
"G","Garret Sparks",6900,"Tor@NJ 07:00PM ET",2.953,"Tor"
"LW","Filip Forsberg",6900,"Nsh@Dal 08:00PM ET",3.777,"Nsh"
"C","Aleksander Barkov",6900,"Car@Fla 07:00PM ET",3.535,"Fla"
"D","Shea Weber",6800,"Nsh@Dal 08:00PM ET",3.765,"Nsh"
"RW","James Neal",6800,"Nsh@Dal 08:00PM ET",3.679,"Nsh"
"G","Jean-Francois Berube",6800,"Buf@NYI 07:30PM ET",4.200,"NYI"
"D","Dustin Byfuglien",6700,"Wpg@LA 10:00PM ET",3.809,"Wpg"
"G","Curtis McElhinney",6700,"Chi@Cls 07:00PM ET",1.905,"Cls"
"C","Anze Kopitar",6700,"Wpg@LA 10:00PM ET",3.701,"LA"
"RW","Wayne Simmonds",6700,"Pit@Phi 03:00PM ET",3.509,"Phi"
"G","Michael Hutchinson",6700,"Wpg@LA 10:00PM ET",3.267,"Wpg"
"G","Eddie Lack",6700,"Car@Fla 07:00PM ET",3.600,"Car"
"G","Anders Nilsson",6700,"Was@StL 08:00PM ET",3.407,"StL"
"C","Ryan Getzlaf",6600,"Anh@Col 05:30PM ET",3.240,"Anh"
"G","Alex Stalock",6600,"Tor@NJ 07:00PM ET",2.185,"Tor"
"LW","Evander Kane",6600,"Buf@NYI 07:30PM ET",3.500,"Buf"
"C","Evgeny Kuznetsov",6600,"Was@StL 08:00PM ET",3.527,"Was"
"G","Louis Domingue",6600,"Ari@SJ 10:30PM ET",4.056,"Ari"
"RW","Corey Perry",6500,"Anh@Col 05:30PM ET",3.478,"Anh"
"G","Al Montoya",6500,"Car@Fla 07:00PM ET",3.952,"Fla"
"G","Niklas Backstrom",6500,"Cgy@Min 07:00PM ET",0.800,"Cgy"
"G","Richard Bachman",6500,"Edm@Van 10:00PM ET",5.600,"Van"
"G","Linus Ullmark",6500,"Buf@NYI 07:30PM ET",3.895,"Buf"
"C","Jeff Carter",6400,"Wpg@LA 10:00PM ET",3.679,"LA"
"C","Matt Duchene",6400,"Anh@Col 05:30PM ET",3.471,"Col"
"G","Anders Lindback",6400,"Ari@SJ 10:30PM ET",2.589,"Ari"
"C","Mark Scheifele",6400,"Wpg@LA 10:00PM ET",3.700,"Wpg"
"G","Laurent Brossoit",6400,"Edm@Van 10:00PM ET",1.360,"Edm"
"G","Chris Driedger",6400,"Ott@Bos 12:30PM ET",2.200,"Ott"
"D","Shayne Gostisbehere",6400,"Pit@Phi 03:00PM ET",3.306,"Phi"
"LW","Artemi Panarin",6400,"Chi@Cls 07:00PM ET",3.484,"Chi"
"G","Niklas Treutle",6400,"Ari@SJ 10:30PM ET",-0.667,"Ari"
"C","Pavel Datsyuk",6300,"Det@NYR 12:30PM ET",3.329,"Det"
"G","Peter Budaj",6300,"Wpg@LA 10:00PM ET",3.800,"LA"
"RW","Kyle Okposo",6300,"Buf@NYI 07:30PM ET",3.443,"NYI"
